EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
mosfet_0026_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0026_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0027_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0027_f80,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0028_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0028_f80,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0029_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0029_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0030_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0030_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0031_f60,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0031_f80,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0032_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0032_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0033_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0033_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0034_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0034_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0035_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0035_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0036_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0036_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0037_f60,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0037_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0038_f60,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0038_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0039_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0039_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0040_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0040_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0041_f60,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,DIELECTRIC ETCH VIA,OXIDE ETCH DRY,POLYSILICON ETCH DRY
mosfet_0041_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0042_f60,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0042_f80,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0043_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0043_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0044_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0044_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0045_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0045_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0046_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0046_f80,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0047_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0047_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0048_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0048_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0049_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0049_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0050_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0050_f80,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0051_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0051_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0052_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0052_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0053_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0053_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0054_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0054_f80,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0055_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0055_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0056_f60,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0056_f80,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0057_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0057_f80,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0058_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0058_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0059_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0059_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0060_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0060_f80,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0061_f60,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0061_f80,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0062_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
mosfet_0062_f80,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0063_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0063_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0064_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0064_f80,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0065_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0065_f80,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH
mosfet_0066_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0066_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0067_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0067_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0068_f60,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0068_f80,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0069_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0069_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0070_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0070_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0071_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0071_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0072_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0072_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0073_f60,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0073_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0074_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0074_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0075_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0075_f80,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0076_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0076_f80,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0077_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0077_f80,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1
mosfet_0078_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0078_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0079_f60,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0079_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0080_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0080_f80,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0081_f60,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0081_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0082_f60,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE,STRIP RESIST
mosfet_0082_f80,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0083_f60,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0083_f80,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH
mosfet_0084_f60,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0084_f80,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST,SOFT BAKE
mosfet_0085_f60,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH
